Number,ID,Created At,Text,Sentiment,Likes
2,1.82E+18,Mon Jul 29 11:15:03 +0000 2024,"Working overtime so I can pay more taxes. Living the dream, one paycheck at a time.
#Budget2024",-1,1
4,1.82E+18,Mon Jul 29 11:14:36 +0000 2024,"To show fake numbers of jobs having been created, have companies, MNCs been told to float fake vacancies on job portals and conduct fake interviews. 

Yes it's true!! #BJP wants to look good at any cost.

#unemployment #India #Growth #Economy #EconomyNews #Pressure #Budget2024 https://t.co/CEE5upKX0E",-1,0
5,1.82E+18,Mon Jul 29 11:14:21 +0000 2024,"Union Budget 2024: A blueprint for sustainable growth and development
https://t.co/QkM6i1qhID via NaMo App https://t.co/JX5eMsHXRj",1,7
7,1.82E+18,Mon Jul 29 11:11:24 +0000 2024,"Today he has issues with big businesses!

Truth is it's only PM @narendramodi who has taken the Indian economy forward, particularly the MSME's!

This guy is insane!! 

#Rahul_Gandhi #Budget2024 https://t.co/G7sQYWiUJy",1,11
8,1.82E+18,Mon Jul 29 11:10:59 +0000 2024,"People's leader LOP Shri @RahulGandhi Ji exposed Defence Minister Rajnath Singh’s lies about compensation to the family of Agniveer martyr.
#Agniveer #Budget2024 https://t.co/JiBK9Z8lwU",-1,29
9,1.82E+18,Mon Jul 29 11:10:44 +0000 2024,"The first bill this Govt should pass in d parliament is to make every MP liable for criminal procedure for their speech in the parliament.Ppl should be allowed to go to court against MPs for their speech in parliament that can be defamatory or blasphemous in nature.

#Budget2024",-1,0
11,1.82E+18,Mon Jul 29 11:10:33 +0000 2024,"Over 1.4 lakh recognised startups in India created more than 15.5 lakh direct jobs

https://t.co/nSwoOIjoHm

#India #PrimeMinister #Industry #Jobs @jayantrld #MSMEs @GoI_MeitY @MoRD_GoI @DPIITGoI #Startup #UnionBudget2024 #Investmentguruindia https://t.co/ZBz9MIVElE",1,0
12,1.82E+18,Mon Jul 29 11:10:31 +0000 2024,"""Finance Minister  talked about an Internship program in 500 companies. This is a Joke with youth as 99% youth are not going to be benefitted from this. You broke the legs of youth and trying to put a bandage.""
Rahul Gandhi, LoP

#RahulGandhi #rahulgandhispeech #Budget2024 https://t.co/tQ8PZx28uR",-1,2
13,1.82E+18,Mon Jul 29 11:10:29 +0000 2024,"#BudgetSession2024

Leader of Opposition in Lok Sabha #RahulGandhi demands caste census, and legal guarantee of MSP to farmers.

Participating in the discussion in Lok Sabha on General Budget 2024-25, he says the legal guarantee for MSP in the Budget would have helped farmers. He https://t.co/uZfJ5QL1Zw",0,36
14,1.82E+18,Mon Jul 29 11:09:56 +0000 2024,"Leader of the Opposition (LoP) Rahul Gandhi on Monday while discussing the Union Budget 2024 in the Lok Sabha criticised the Central government and said that Kurukshetra’s ‘Chakravyuha’ has come back to the country as the government  
#OmmcomNews https://t.co/pM6K3zO3jA",-1,0
